constituency_code,constituency,party,candidate,third_place_vote_pct,party_avg_vote_pct,overperformance_pct,total_candidates,margin_votes
S2523,DARJEELING,Independent,AJOY LUCAS EDWARDS,27.98,0.36,27.62,7,6057
S2565,NABAGRAM,Indian National Congress,HIRU HALDAR,22.63,3.03,19.60,8,5919
S2566,KHARGRAM,Communist Party of India (Marxist),DHRUBAJOTI SAHA,20.51,6.60,13.91,10,9333
S2563,RANINAGAR,Communist Party of India (Marxist),JAMAL HOSSAIN,20.48,6.60,13.88,15,2701
S25152,TOLLYGANJ,Communist Party of India (Marxist),PARTHA PRATIM BISWAS,14.75,6.60,8.15,12,6013
S25102,AMDANGA,All India Secular Front,BISWAJIT MAITY,21.63,14.07,7.56,13,2995
S25112,KAMARHATI,Communist Party of India (Marxist),MANASH MUKHERJEE,13.63,6.60,7.03,12,5646
S25115,RAJARHAT NEW TOWN,Communist Party of India (Marxist),SAPTARSHI DEB,12.77,6.60,6.17,14,316
S25192,PANDUA,Communist Party of India (Marxist),AMJAD HOSSAIN SK,11.79,6.60,5.19,10,5228
S25181,AMTA,Communist Party of India (Marxist),JOSHIMUDDIN MALLICK,9.79,6.60,3.19,14,4454
S25173,HOWRAH DAKSHIN,Communist Party of India (Marxist),ABHIJIT BANERJEE,9.73,6.60,3.13,13,7828
S25124,BASIRHAT DAKSHIN,Communist Party of India (Marxist),AYNUL AREFIN(RAJU AHMED),9.46,6.60,2.86,12,9544
S25186,SREERAMPUR,Communist Party of India (Marxist),NABANITA CHAKRABORTY,9.20,6.60,2.60,12,8685
S25261,RAINA,Communist Party of India (Marxist),SOMNATH MAJI,8.43,6.60,1.83,9,834
S2537,KUSHMANDI,Revolutionary Socialist Party,JYOTIRMOY ROY,3.44,1.75,1.69,9,9063
